gsis_id,sleeper_id,full_name,position,team,age,status,report_status,games,raw_ppg,proj_ppg,adj_ppg,adj_note,replacement_ppg,remaining,absence_now,base_miss_rate,most_common_injury,exp_games,availability,exp_ppg,vorp,value,overall_rank,pos_rank
00-0040058,13151,Nick Kallerup,TE,SEA,25.4,ACT,,2,0.0,6.66,0.0,,9.01,16,0.0,0.089,,14.6,0.91,6.06,-34.4,0.0,181,32
00-0036972,7527,Mac Jones,QB,SF,28.0,ACT,,17,14.3,15.33,0.0,,17.36,16,0.0,0.031,,15.5,0.97,14.85,-31.6,0.0,182,26
00-0039894,11624,Xavier Worthy,WR,KC,23.3,ACT,,30,9.21,9.47,0.0,,10.43,16,0.0,0.055,,15.1,0.94,8.95,-14.6,0.0,183,67
00-0037525,8408,Jordan Mason,RB,MIN,27.3,RES,,23,9.15,9.16,0.0,,9.22,16,8.5,0.183,Ankle,6.1,0.38,3.5,-0.3,0.0,184,59
00-0041099,13533,Barion Brown,WR,NO,22.7,ACT,,0,,10.43,0.0,,10.43,16,0.0,0.154,,13.5,0.85,8.83,0.0,0.0,185,68
00-0041125,13424,Seth McGowan,RB,IND,24.9,ACT,,0,,9.22,0.0,,9.22,16,0.0,0.146,,13.7,0.85,7.87,0.0,0.0,186,60
00-0036984,7593,Trey Sermon,RB,ATL,27.6,RES,,8,4.28,7.35,0.0,,9.22,16,8.8,0.118,,6.4,0.4,2.92,-11.9,0.0,187,61
00-0040901,13422,Jaren Kanak,TE,TEN,22.6,RES,,0,,9.01,0.0,,9.01,16,8.8,0.294,,5.1,0.32,2.86,0.0,0.0,188,33
00-0037329,8423,Brittain Brown,RB,CHI,28.9,RES,,0,,9.22,0.0,,9.22,16,8.8,0.202,,5.7,0.36,3.31,0.0,0.0,189,62
00-0036862,7757,Ben Skowronek,WR,PIT,29.2,ACT,,8,1.23,5.81,0.0,,10.43,16,0.0,0.187,Hip,13.0,0.81,4.72,-60.1,0.0,190,69
00-0036637,7828,Noah Gray,TE,KC,27.3,ACT,,30,4.26,5.26,0.0,,9.01,16,0.0,0.077,Concussion,14.8,0.92,4.85,-55.5,0.0,191,34
00-0035993,7083,Tyler Huntley,QB,BAL,28.6,ACT,,9,11.03,13.99,0.0,,17.36,16,0.0,0.138,Right Shoulder,13.8,0.86,12.06,-46.6,0.0,192,27
00-0040534,12971,Ke'Shawn Williams,WR,CIN,24.7,ACT,,0,,10.43,0.0,,10.43,16,0.0,0.106,,14.3,0.89,9.33,0.0,0.0,193,70
00-0040240,12735,Caleb Lohner,TE,DEN,24.9,RES,,0,,9.01,0.0,,9.01,16,8.8,0.274,,5.2,0.33,2.95,0.0,0.0,194,35
00-0033307,4454,Kendrick Bourne,WR,ARI,31.1,ACT,,27,6.44,7.3,0.0,,10.43,16,0.0,0.051,,15.2,0.95,6.93,-47.5,0.0,195,71
00-0037838,8131,Isaiah Likely,TE,NYG,26.4,ACT,,28,7.73,8.01,0.0,,9.01,16,0.0,0.134,Hamstring,13.9,0.87,6.93,-14.0,0.0,196,36
00-0038488,11280,Brady Russell,RB,SEA,28.0,ACT,,2,2.48,7.34,0.0,,9.22,16,0.0,0.159,Foot,13.5,0.84,6.17,-25.3,0.0,197,63
00-0038935,9480,Brenton Strange,TE,JAX,25.7,ACT,,27,8.91,8.93,0.0,,9.01,16,0.0,0.155,Hip,13.5,0.84,7.55,-1.1,0.0,198,37
00-0038489,11273,Ben VanSumeren,RB,KC,26.3,ACT,,0,,9.22,0.0,,9.22,16,0.0,0.075,Knee,14.8,0.92,8.53,0.0,0.0,199,64
00-0038977,9502,Tank Dell,WR,HOU,26.8,RES,,14,10.26,10.34,0.0,,10.43,16,4.0,0.466,Chest,6.4,0.4,4.14,-0.6,0.0,200,72
00-0033908,4039,Cooper Kupp,WR,SEA,33.2,ACT,,29,8.62,8.99,0.0,,10.43,16,0.0,0.107,Ankle,14.3,0.89,8.02,-20.7,0.0,201,73
00-0036626,7587,Dyami Brown,WR,WAS,26.8,ACT,,24,4.53,6.16,0.0,,10.43,16,0.0,0.07,Hamstring,14.9,0.93,5.73,-63.6,0.0,202,74
00-0039868,11627,Troy Franklin,WR,DEN,23.6,ACT,,33,7.85,8.34,0.0,,10.43,16,0.0,0.055,,15.1,0.94,7.88,-31.7,0.0,203,75
00-0038710,11201,Blake Whiteheart,TE,CLE,26.4,ACT,,10,1.21,4.27,0.0,,9.01,16,0.0,0.066,,14.9,0.93,3.99,-70.9,0.0,204,38
00-0041051,13411,Zavion Thomas,WR,CHI,22.5,ACT,,0,,10.43,0.0,,10.43,16,0.0,0.154,,13.5,0.85,8.83,0.0,0.0,205,76
00-0036309,7090,Darnell Mooney,WR,NYG,28.8,ACT,,32,7.33,7.94,0.0,,10.43,16,0.0,0.074,Hamstring,14.8,0.93,7.35,-37.0,0.0,206,77
00-0023459,96,Aaron Rodgers,QB,PIT,42.7,ACT,,34,14.32,14.89,0.0,,17.36,16,0.0,0.028,,15.6,0.97,14.48,-38.4,0.0,207,28
00-0039746,11577,Will Shipley,RB,PHI,24.0,ACT,,2,5.7,8.32,0.0,,9.22,16,0.0,0.109,Oblique,14.3,0.89,7.42,-12.8,0.0,208,65
