episode_id,gsis_id,full_name,position,team,season,start_week,end_week,games_missed,ir_games,starts_on_ir,injury,carried_over,parts,n_base,base_share,base_ppg,return_key,games_to_normal,share_ratio_first4,ppg_after_first4,r1,r2,r3,r4,r5,r6,r7,r8,returned,ppg_ratio_first4
173,00-0026019,Danny Woodhead,RB,SD,2016,3,17,14,14,true,Unlabeled (IR),true,1,8,0.561,14.500,201701,,0.423,6.700,0.160,0.392,0.588,0.552,0.677,0.535,0.463,0.695,true,0.462
174,00-0026019,Danny Woodhead,RB,BAL,2017,2,9,8,8,true,Thigh,false,1,8,0.501,14.688,201711,,0.618,6.925,0.439,0.658,0.618,0.758,0.599,0.519,0.778,,true,0.471
177,00-0026035,Danny Amendola,WR,NE,2016,14,17,4,0,false,Ankle,true,1,8,0.359,4.050,201701,0,1.484,13.925,1.115,1.338,1.422,2.063,1.199,1.422,1.031,1.087,true,3.438
178,00-0026035,Danny Amendola,WR,NE,2017,2,2,1,0,false,Concussion,false,1,8,0.360,4.800,201703,0,1.500,11.675,1.333,1.417,2.056,1.194,1.417,1.028,1.083,1.611,true,2.432
179,00-0026035,Danny Amendola,WR,DET,2020,11,12,2,0,false,Hip,false,1,8,0.539,8.162,202013,0,0.928,8.875,0.910,0.947,0.780,1.077,0.761,0.408,0.371,0.798,true,1.087
180,00-0026035,Danny Amendola,WR,HOU,2021,3,4,2,0,false,Thigh,false,1,8,0.458,8.800,202107,0,0.962,3.725,0.940,1.399,1.071,0.437,0.852,1.158,,,true,0.423
181,00-0026035,Danny Amendola,WR,HOU,2021,13,17,4,4,true,Knee,false,2,8,0.396,5.188,202118,,1.338,32.300,1.338,,,,,,,,true,6.227
182,00-0026069,Mike Tolbert,RB,BUF,2017,11,13,3,0,false,Hamstring,false,1,8,0.255,4.813,201714,1,1.007,2.833,0.745,0.863,1.412,,,,,,true,0.589
183,00-0026143,Matt Ryan,QB,IND,2022,8,9,2,0,false,right Shoulder,false,1,8,0.995,12.615,202210,0,1.005,12.645,1.005,1.005,1.005,1.005,1.005,,,,true,1.002
185,00-0026144,Darren McFadden,RB,OAK,2013,10,12,3,0,false,Hamstring,false,1,6,0.677,13.473,201313,4,0.587,4.525,0.296,0.502,0.842,0.709,1.020,1.404,1.005,1.123,true,0.336
186,00-0026144,Darren McFadden,RB,OAK,2013,14,15,2,0,false,Ankle,false,1,7,0.606,11.906,201316,3,0.858,7.900,0.561,0.941,0.792,1.139,1.568,1.123,1.255,1.288,true,0.664
